TIMEOUT,INSTANCE,RESULT
5,j3011_9,46
5,j3011_9,40
5,j3011_9,44
5,j3011_9,40
5,j3011_9,43

5,j3012_4,42
5,j3012_4,40
5,j3012_4,42
5,j3012_4,40
5,j3012_4,39

5,j3022_4,42
5,j3022_4,43
5,j3022_4,42
5,j3022_4,41
5,j3022_4,46

5,j3025_10,45
5,j3025_10,50
5,j3025_10,46
5,j3025_10,45
5,j3025_10,47

5,j3031_8,45
5,j3031_8,43
5,j3031_8,42
5,j3031_8,43
5,j3031_8,44

5,j3055_8,52
5,j3055_8,51
5,j3055_8,54
5,j3055_8,48
5,j3055_8,52

5,j3058_7,46
5,j3058_7,45
5,j3058_7,40
5,j3058_7,36
5,j3058_7,44

5,j3059_5,39
5,j3059_5,41
5,j3059_5,42
5,j3059_5,41
5,j3059_5,41

5,j3060_1,37
5,j3060_1,36
5,j3060_1,35
5,j3060_1,40
5,j3060_1,34

5,j3063_7,41
5,j3063_7,44
5,j3063_7,42
5,j3063_7,41
5,j3063_7,42

10,j3011_9,28
10,j3011_9,27
10,j3011_9,32
10,j3011_9,28
10,j3011_9,26

10,j3012_4,30
10,j3012_4,32
10,j3012_4,32
10,j3012_4,30
10,j3012_4,30

10,j3022_4,28
10,j3022_4,28
10,j3022_4,28
10,j3022_4,27
10,j3022_4,30

10,j3025_10,33
10,j3025_10,29
10,j3025_10,32
10,j3025_10,27
10,j3025_10,27

10,j3031_8,29
10,j3031_8,26
10,j3031_8,26
10,j3031_8,26
10,j3031_8,26

10,j3055_8,44
10,j3055_8,44
10,j3055_8,44
10,j3055_8,45
10,j3055_8,50

10,j3058_7,27
10,j3058_7,28
10,j3058_7,27
10,j3058_7,29
10,j3058_7,28

10,j3059_5,29
10,j3059_5,28
10,j3059_5,28
10,j3059_5,29
10,j3059_5,29

10,j3060_1,22
10,j3060_1,22
10,j3060_1,22
10,j3060_1,22
10,j3060_1,22

10,j3063_7,28
10,j3063_7,33
10,j3063_7,29
10,j3063_7,29
10,j3063_7,29

15,j3011_9,27
15,j3011_9,26
15,j3011_9,29
15,j3011_9,28
15,j3011_9,28

15,j3012_4,30
15,j3012_4,30
15,j3012_4,30
15,j3012_4,30
15,j3012_4,29

15,j3022_4,29
15,j3022_4,28
15,j3022_4,28
15,j3022_4,28
15,j3022_4,27

15,j3025_10,27
15,j3025_10,27
15,j3025_10,27
15,j3025_10,27
15,j3025_10,27

15,j3031_8,26
15,j3031_8,26
15,j3031_8,26
15,j3031_8,26
15,j3031_8,26

15,j3055_8,44
15,j3055_8,44
15,j3055_8,44
15,j3055_8,44
15,j3055_8,44

15,j3058_7,26
15,j3058_7,27
15,j3058_7,26
15,j3058_7,27
15,j3058_7,27

15,j3059_5,28
15,j3059_5,28
15,j3059_5,28
15,j3059_5,28
15,j3059_5,28

15,j3060_1,22
15,j3060_1,22
15,j3060_1,22
15,j3060_1,22
15,j3060_1,22

15,j3063_7,28
15,j3063_7,27
15,j3063_7,29
15,j3063_7,28
15,j3063_7,28

