TIMEOUT,INSTANCE,RESULT
5,J50107_4,80
5,J50107_4,81
5,J50107_4,73
5,J50107_4,79
5,J50107_4,77
5,J50103_2,112
5,J50103_2,112
5,J50103_2,116
5,J50103_2,109
5,J50103_2,116
5,J5023_1,38
5,J5023_1,40
5,J5023_1,36
5,J5023_1,39
5,J5023_1,36
5,J5028_1,35
5,J5028_1,36
5,J5028_1,41
5,J5028_1,43
5,J5028_1,38
5,J5036_2,36
5,J5036_2,36
5,J5036_2,34
5,J5036_2,35
5,J5036_2,34
5,J5039_3,58
5,J5039_3,58
5,J5039_3,60
5,J5039_3,59
5,J5039_3,59
5,J5059_2,52
5,J5059_2,44
5,J5059_2,47
5,J5059_2,54
5,J5059_2,54
5,J5076_1,82
5,J5076_1,79
5,J5076_1,84
5,J5076_1,82
5,J5076_1,81
5,J5089_4,84
5,J5089_4,85
5,J5089_4,81
5,J5089_4,81
5,J5089_4,85
5,J5090_1,76
5,J5090_1,80
5,J5090_1,84
5,J5090_1,82
5,J5090_1,72
20,J50107_4,60
20,J50107_4,59
20,J50107_4,61
20,J50107_4,59
20,J50107_4,58
20,J50103_2,92
20,J50103_2,100
20,J50103_2,96
20,J50103_2,98
20,J50103_2,96
20,J5023_1,28
20,J5023_1,30
20,J5023_1,28
20,J5023_1,32
20,J5023_1,31
20,J5028_1,33
20,J5028_1,35
20,J5028_1,32
20,J5028_1,32
20,J5028_1,30
20,J5036_2,29
20,J5036_2,29
20,J5036_2,30
20,J5036_2,30
20,J5036_2,28
20,J5039_3,45
20,J5039_3,43
20,J5039_3,43
20,J5039_3,48
20,J5039_3,44
20,J5059_2,37
20,J5059_2,38
20,J5059_2,39
20,J5059_2,39
20,J5059_2,36
20,J5076_1,60
20,J5076_1,64
20,J5076_1,64
20,J5076_1,63
20,J5076_1,61
20,J5089_4,61
20,J5089_4,56
20,J5089_4,61
20,J5089_4,58
20,J5089_4,57
20,J5090_1,67
20,J5090_1,66
20,J5090_1,64
20,J5090_1,63
20,J5090_1,65
35,J50107_4,50
35,J50107_4,50
35,J50107_4,50
35,J50107_4,50
35,J50107_4,50
35,J50103_2,95
35,J50103_2,96
35,J50103_2,100
35,J50103_2,97
35,J50103_2,98
35,J5023_1,23
35,J5023_1,22
35,J5023_1,21
35,J5023_1,22
35,J5023_1,23
35,J5028_1,28
35,J5028_1,27
35,J5028_1,29
35,J5028_1,28
35,J5028_1,28
35,J5036_2,22
35,J5036_2,21
35,J5036_2,20
35,J5036_2,21
