TIMEOUT,INSTANCE,RESULT
5,j3011_9,
5,j3011_9,
5,j3011_9,
5,j3011_9,
5,j3011_9,

5,j3012_4,
5,j3012_4,
5,j3012_4,
5,j3012_4,
5,j3012_4,

5,j3022_4,
5,j3022_4,
5,j3022_4,
5,j3022_4,
5,j3022_4,

5,j3025_10,
5,j3025_10,
5,j3025_10,
5,j3025_10,
5,j3025_10,

5,j3031_8,
5,j3031_8,
5,j3031_8,
5,j3031_8,
5,j3031_8,

5,j3055_8,
5,j3055_8,
5,j3055_8,
5,j3055_8,
5,j3055_8,

5,j3058_7,
5,j3058_7,
5,j3058_7,
5,j3058_7,
5,j3058_7,

5,j3059_5,
5,j3059_5,
5,j3059_5,
5,j3059_5,
5,j3059_5,

5,j3060_1,
5,j3060_1,
5,j3060_1,
5,j3060_1,
5,j3060_1,

5,j3063_7,
5,j3063_7,
5,j3063_7,
5,j3063_7,
5,j3063_7,

10,j3011_9,
10,j3011_9,
10,j3011_9,
10,j3011_9,
10,j3011_9,

10,j3012_4,
10,j3012_4,
10,j3012_4,
10,j3012_4,
10,j3012_4,

10,j3022_4,
10,j3022_4,
10,j3022_4,
10,j3022_4,
10,j3022_4,

10,j3025_10,
10,j3025_10,
10,j3025_10,
10,j3025_10,
10,j3025_10,

10,j3031_8,
10,j3031_8,
10,j3031_8,
10,j3031_8,
10,j3031_8,

10,j3055_8,
10,j3055_8,
10,j3055_8,
10,j3055_8,
10,j3055_8,

10,j3058_7,
10,j3058_7,
10,j3058_7,
10,j3058_7,
10,j3058_7,

10,j3059_5,
10,j3059_5,
10,j3059_5,
10,j3059_5,
10,j3059_5,

10,j3060_1,
10,j3060_1,
10,j3060_1,
10,j3060_1,
10,j3060_1,

10,j3063_7,
10,j3063_7,
10,j3063_7,
10,j3063_7,
10,j3063_7,

15,j3011_9,
15,j3011_9,26
15,j3011_9,
15,j3011_9,
15,j3011_9,26

15,j3012_4,
15,j3012_4,29
15,j3012_4,
15,j3012_4,
15,j3012_4,29

15,j3022_4,
15,j3022_4,
15,j3022_4,
15,j3022_4,
15,j3022_4,

15,j3025_10,27
15,j3025_10,27
15,j3025_10,27
15,j3025_10,27
15,j3025_10,

15,j3031_8,26
15,j3031_8,26
15,j3031_8,26
15,j3031_8,26
15,j3031_8,26

15,j3055_8,
15,j3055_8,
15,j3055_8,
15,j3055_8,
15,j3055_8,

15,j3058_7,26
15,j3058_7,26
15,j3058_7,26
15,j3058_7,26
15,j3058_7,26

15,j3059_5,28
15,j3059_5,
15,j3059_5,28
15,j3059_5,28
15,j3059_5,

15,j3060_1,22
15,j3060_1,22
15,j3060_1,22
15,j3060_1,22
15,j3060_1,22

15,j3063_7,
15,j3063_7,
15,j3063_7,
15,j3063_7,
15,j3063_7,

20,j3011_9,26
20,j3011_9,26
20,j3011_9,26
20,j3011_9,26
20,j3011_9,26

20,j3012_4,29
20,j3012_4,29
20,j3012_4,29
20,j3012_4,29
20,j3012_4,29

20,j3022_4,25
20,j3022_4,25
20,j3022_4,25
20,j3022_4,25
20,j3022_4,25

20,j3025_10,27
20,j3025_10,27
20,j3025_10,27
20,j3025_10,27
20,j3025_10,27

20,j3031_8,26
20,j3031_8,26
20,j3031_8,26
20,j3031_8,26
20,j3031_8,26

20,j3055_8,
20,j3055_8,
20,j3055_8,
20,j3055_8,
20,j3055_8,

20,j3058_7,26
20,j3058_7,26
20,j3058_7,26
20,j3058_7,26
20,j3058_7,26

20,j3059_5,28
20,j3059_5,28
20,j3059_5,28
20,j3059_5,28
20,j3059_5,28

20,j3060_1,22
20,j3060_1,22
20,j3060_1,22
20,j3060_1,22
20,j3060_1,22

20,j3063_7,26
20,j3063_7,26
20,j3063_7,26
20,j3063_7,26
20,j3063_7,26

25,j3011_9,26
25,j3011_9,26
25,j3011_9,26
25,j3011_9,26
25,j3011_9,26

25,j3012_4,29
25,j3012_4,29
25,j3012_4,29
25,j3012_4,29
25,j3012_4,29

25,j3022_4,25
25,j3022_4,25
25,j3022_4,25
25,j3022_4,25
25,j3022_4,25

25,j3025_10,27
25,j3025_10,27
25,j3025_10,27
25,j3025_10,27
25,j3025_10,27

25,j3031_8,26
25,j3031_8,26
25,j3031_8,26
25,j3031_8,26
25,j3031_8,26

25,j3055_8,44
25,j3055_8,44
25,j3055_8,44
25,j3055_8,44
25,j3055_8,44

25,j3058_7,26
25,j3058_7,26
25,j3058_7,26
25,j3058_7,26
25,j3058_7,26

25,j3059_5,28
25,j3059_5,28
25,j3059_5,28
25,j3059_5,28
25,j3059_5,28

25,j3060_1,22
25,j3060_1,22
25,j3060_1,22
25,j3060_1,22
25,j3060_1,22

25,j3063_7,26
25,j3063_7,26
25,j3063_7,26
25,j3063_7,26
25,j3063_7,26

30,j3011_9,26
30,j3011_9,26
30,j3011_9,26
30,j3011_9,26
30,j3011_9,26

30,j3012_4,29
30,j3012_4,29
30,j3012_4,29
30,j3012_4,29
30,j3012_4,29

30,j3022_4,25
30,j3022_4,25
30,j3022_4,25
30,j3022_4,25
30,j3022_4,25

30,j3025_10,27
30,j3025_10,27
30,j3025_10,27
30,j3025_10,27
30,j3025_10,27

30,j3031_8,26
30,j3031_8,26
30,j3031_8,26
30,j3031_8,26
30,j3031_8,26

30,j3055_8,44
30,j3055_8,44
30,j3055_8,44
30,j3055_8,44
30,j3055_8,44

30,j3058_7,26
30,j3058_7,26
30,j3058_7,26
30,j3058_7,26
30,j3058_7,26

30,j3059_5,28
30,j3059_5,28
30,j3059_5,28
30,j3059_5,28
30,j3059_5,28

30,j3060_1,22
30,j3060_1,22
30,j3060_1,22
30,j3060_1,22
30,j3060_1,22

30,j3063_7,26
30,j3063_7,26
30,j3063_7,26
30,j3063_7,26
30,j3063_7,26

35,j3011_9,26
35,j3011_9,26
35,j3011_9,26
35,j3011_9,26
35,j3011_9,26

35,j3012_4,29
35,j3012_4,29
35,j3012_4,29
35,j3012_4,29
35,j3012_4,29

35,j3022_4,25
35,j3022_4,25
35,j3022_4,25
35,j3022_4,25
35,j3022_4,25

35,j3025_10,27
35,j3025_10,27
35,j3025_10,27
35,j3025_10,27
35,j3025_10,27

35,j3031_8,26
35,j3031_8,26
35,j3031_8,26
35,j3031_8,26
35,j3031_8,26

35,j3055_8,44
35,j3055_8,44
35,j3055_8,44
35,j3055_8,44
35,j3055_8,44

35,j3058_7,26
35,j3058_7,26
35,j3058_7,26
35,j3058_7,26
35,j3058_7,26

35,j3059_5,28
35,j3059_5,28
35,j3059_5,28
35,j3059_5,28
35,j3059_5,28

35,j3060_1,22
35,j3060_1,22
35,j3060_1,22
35,j3060_1,22
35,j3060_1,22

35,j3063_7,26
35,j3063_7,26
35,j3063_7,26
35,j3063_7,26
35,j3063_7,26

40,j3011_9,26
40,j3011_9,26
40,j3011_9,26
40,j3011_9,26
40,j3011_9,26

40,j3012_4,29
40,j3012_4,29
40,j3012_4,29
40,j3012_4,29
40,j3012_4,29

40,j3022_4,25
40,j3022_4,25
40,j3022_4,25
40,j3022_4,25
40,j3022_4,25

40,j3025_10,27
40,j3025_10,27
40,j3025_10,27
40,j3025_10,27
40,j3025_10,27

40,j3031_8,26
40,j3031_8,26
40,j3031_8,26
40,j3031_8,26
40,j3031_8,26

40,j3055_8,44
40,j3055_8,44
40,j3055_8,44
40,j3055_8,44
40,j3055_8,44

40,j3058_7,26
40,j3058_7,26
40,j3058_7,26
40,j3058_7,26
