INSTANCE,SIZE,SAM_TIME,SAM_RESULT,SR_TIME,HYBRID_TIME,HYBRID_SAM_RESULT,OPTIMAL,SR_UB
j3011_9,30,27.52,26,716.03,38.88,26,26
j3011_9,30,30.18,26,703.21,37.55,26,26
j3011_9,30,30.77,29,705.19,38.70,28,26
j3011_9,30,29.99,28,704.07,38.73,29,26
j3011_9,30,30.34,26,699.93,37.69,26,26
j3011_9,30,29.69,27,703.39,38.78,28,26
j3011_9,30,30.15,26,701.25,37.48,26,26
j3011_9,30,29.99,29,701.73,37.96,27,26
j3011_9,30,30.98,26,698.62,37.90,26,26
j3011_9,30,29.46,28,697.05,37.93,26,26
j3012_4,30,30.03,29,730.84,38.88,29,29
j3012_4,30,30.73,29,730.97,38.64,29,29
j3012_4,30,29.90,30,731.21,39.35,30,29
j3012_4,30,29.99,30,733.75,38.12,30,29
j3012_4,30,29.44,29,734.20,38.81,30,29
j3012_4,30,29.45,29,735.14,38.38,29,29
j3012_4,30,30.07,29,733.10,38.98,30,29
j3012_4,30,29.95,30,734.19,38.02,29,29
j3012_4,30,29.76,29,732.33,38.70,29,29
j3012_4,30,30.22,30,730.57,37.97,29,29
j3022_4,30,30.61,28,791.73,39.55,27,25
j3022_4,30,31.30,27,794.39,39.92,28,25
j3022_4,30,30.88,28,794.22,39.29,27,25
j3022_4,30,30.89,27,793.87,39.76,27,25
j3022_4,30,30.95,28,794.16,40.03,27,25
j3022_4,30,31.27,28,793.54,39.30,27,25
j3022_4,30,31.27,27,793.37,39.30,27,25
j3022_4,30,32.08,28,794.09,39.90,28,25
j3022_4,30,30.58,27,796.28,39.89,28,25
j3022_4,30,31.68,28,804.29,39.58,27,25
j3025_10,30,31.52,27,906.34,39.40,27,27,245
j3025_10,30,32.07,27,910.23,38.16,27,27,245
j3025_10,30,31.71,27,908.96,42.36,27,27,245
j3025_10,30,31.69,27,903.68,42.47,27,27,245
j3025_10,30,31.96,27,900.36,41.89,27,27,245
j3025_10,30,31.60,27,901.48,42.41,27,27,245
j3025_10,30,31.85,27,904.83,40.46,27,27,245
j3025_10,30,31.52,27,910.25,39.60,27,27,245
