STEPS,COEFFICIENT,SIZE,INSTANCE,RESULT,TIME,OPTIMAL
3,0.05,30,j3060_1,36,14.17,22
3,0.05,30,j3060_1,34,14.11,22
3,0.05,30,j3060_1,40,13.94,22
3,0.05,30,j3060_1,36,14.52,22
3,0.05,30,j3060_1,39,14.24,22
3,0.05,30,j3060_1,35,14.61,22
3,0.05,30,j3060_1,37,14.86,22
3,0.05,30,j3060_1,40,14.68,22
3,0.05,30,j3060_1,36,14.99,22
3,0.05,30,j3060_1,36,14.04,22
3,0.05,50,J5090_1,78,32.63,54
3,0.05,50,J5090_1,73,33.12,54
3,0.05,50,J5090_1,74,32.78,54
3,0.05,50,J5090_1,81,31.86,54
3,0.05,50,J5090_1,72,32.13,54
3,0.05,50,J5090_1,77,31.26,54
3,0.05,50,J5090_1,78,32.25,54
3,0.05,50,J5090_1,75,32.79,54
3,0.05,50,J5090_1,78,32.83,54
3,0.05,50,J5090_1,77,33.64,54
3,0.05,100,J10078_4,128,115.50,59
3,0.05,100,J10078_4,128,113.88,59
3,0.05,100,J10078_4,127,115.54,59
3,0.05,100,J10078_4,123,115.64,59
3,0.05,100,J10078_4,121,115.95,59
3,0.05,100,J10078_4,127,114.23,59
3,0.05,100,J10078_4,124,114.61,59
3,0.05,100,J10078_4,123,115.75,59
3,0.05,100,J10078_4,123,114.34,59
3,0.05,100,J10078_4,125,118.44,59
5,0.25,30,j3060_1,22,28.73,22
5,0.25,30,j3060_1,22,28.90,22
5,0.25,30,j3060_1,22,29.87,22
5,0.25,30,j3060_1,22,30.40,22
5,0.25,30,j3060_1,22,29.57,22
5,0.25,30,j3060_1,22,30.03,22
5,0.25,30,j3060_1,22,29.72,22
5,0.25,30,j3060_1,22,30.27,22
5,0.25,30,j3060_1,22,29.15,22
5,0.25,30,j3060_1,22,29.93,22
5,0.25,50,J5090_1,54,68.70,54
5,0.25,50,J5090_1,55,70.59,54
5,0.25,50,J5090_1,54,72.04,54
5,0.25,50,J5090_1,54,69.55,54
5,0.25,50,J5090_1,54,69.11,54
5,0.25,50,J5090_1,54,68.95,54
5,0.25,50,J5090_1,55,69.77,54
5,0.25,50,J5090_1,54,72.18,54
5,0.25,50,J5090_1,55,70.09,54
5,0.25,50,J5090_1,56,70.05,54
5,0.25,100,J10078_4,70,255.01,59
5,0.25,100,J10078_4,71,253.48,59
5,0.25,100,J10078_4,69,248.63,59
5,0.25,100,J10078_4,69,239.23,59
5,0.25,100,J10078_4,72,237.40,59
5,0.25,100,J10078_4,71,239.99,59
5,0.25,100,J10078_4,69,239.82,59
5,0.25,100,J10078_4,68,239.85,59
5,0.25,100,J10078_4,70,235.48,59
5,0.25,100,J10078_4,72,228.57,59
10,0.5,30,j3060_1,22,88.31,22
10,0.5,30,j3060_1,22,93.27,22
10,0.5,30,j3060_1,22,93.59,22
10,0.5,30,j3060_1,22,90.70,22
10,0.5,30,j3060_1,22,94.20,22
10,0.5,30,j3060_1,22,93.56,22
10,0.5,30,j3060_1,22,92.31,22
10,0.5,30,j3060_1,22,92.87,22
10,0.5,30,j3060_1,22,93.76,22
10,0.5,30,j3060_1,22,93.80,22
10,0.5,50,J5090_1,54,224.02,54
10,0.5,50,J5090_1,54,222.70,54
10,0.5,50,J5090_1,54,225.75,54
10,0.5,50,J5090_1,54,212.70,54
10,0.5,50,J5090_1,54,207.67,54
10,0.5,50,J5090_1,54,207.47,54
10,0.5,50,J5090_1,54,208.42,54
10,0.5,50,J5090_1,54,209.79,54
10,0.5,50,J5090_1,54,212.32,54
10,0.5,50,J5090_1,54,206.59,54
10,0.5,100,J10078_4,63,715.36,59
10,0.5,100,J10078_4,62,698.08,59
10,0.5,100,J10078_4,63,700.93,59
10,0.5,100,J10078_4,64,710.88,59
10,0.5,100,J10078_4,64,709.48,59
10,0.5,100,J10078_4,63,710.91,59
10,0.5,100,J10078_4,64,701.66,59
10,0.5,100,J10078_4,63,699.67,59
10,0.5,100,J10078_4,64,709.91,59
10,0.5,100,J10078_4,64,715.67,59
