PARAMETER,VALUE,SIZE,TIME,RESULT,OPTIMAL
NEIGHBOURS_INITIAL_N,30,100,4.02,39,22
NEIGHBOURS_INITIAL_N,30,100,3.87,39,22
NEIGHBOURS_INITIAL_N,30,100,3.94,43,22
NEIGHBOURS_INITIAL_N,30,100,3.9,38,22
NEIGHBOURS_INITIAL_N,30,100,3.42,42,22
NEIGHBOURS_INITIAL_N,30,100,3.43,45,22
NEIGHBOURS_INITIAL_N,30,100,3.43,39,22
NEIGHBOURS_INITIAL_N,30,100,3.42,37,22
NEIGHBOURS_INITIAL_N,30,100,3.43,35,22
NEIGHBOURS_INITIAL_N,30,100,3.43,43,22
NEIGHBOURS_INITIAL_N,30,100,3.37,37,22
NEIGHBOURS_INITIAL_N,30,100,3.39,37,22
NEIGHBOURS_INITIAL_N,30,100,3.43,39,22
NEIGHBOURS_INITIAL_N,30,100,3.39,43,22
NEIGHBOURS_INITIAL_N,30,100,3.38,44,22
NEIGHBOURS_INITIAL_N,30,100,3.34,37,22
NEIGHBOURS_INITIAL_N,30,100,3.4,42,22
NEIGHBOURS_INITIAL_N,30,100,3.43,40,22
NEIGHBOURS_INITIAL_N,30,100,3.27,31,22
NEIGHBOURS_INITIAL_N,30,100,3.33,41,22
NEIGHBOURS_INITIAL_N,30,100,3.35,42,22
NEIGHBOURS_INITIAL_N,30,100,3.34,45,22
NEIGHBOURS_INITIAL_N,30,100,3.39,36,22
NEIGHBOURS_INITIAL_N,30,100,3.31,37,22
NEIGHBOURS_INITIAL_N,30,100,3.42,36,22
NEIGHBOURS_INITIAL_N,30,100,3.41,45,22
NEIGHBOURS_INITIAL_N,30,100,3.35,38,22
NEIGHBOURS_INITIAL_N,30,100,3.37,43,22
NEIGHBOURS_INITIAL_N,30,100,3.36,44,22
NEIGHBOURS_INITIAL_N,30,100,3.39,37,22
NEIGHBOURS_INITIAL_N,30,100,3.31,38,22
NEIGHBOURS_INITIAL_N,30,100,3.27,43,22
NEIGHBOURS_INITIAL_N,30,100,3.44,39,22
NEIGHBOURS_INITIAL_N,30,100,3.35,38,22
NEIGHBOURS_INITIAL_N,30,100,3.4,39,22
NEIGHBOURS_INITIAL_N,30,100,3.25,44,22
NEIGHBOURS_INITIAL_N,30,100,3.4,37,22
NEIGHBOURS_INITIAL_N,30,100,3.12,43,22
NEIGHBOURS_INITIAL_N,30,100,3.36,45,22
NEIGHBOURS_INITIAL_N,30,100,3.2,45,22
NEIGHBOURS_INITIAL_N,30,100,3.23,39,22
NEIGHBOURS_INITIAL_N,30,100,3.27,40,22
NEIGHBOURS_INITIAL_N,30,100,3.29,41,22
NEIGHBOURS_INITIAL_N,30,100,3.24,39,22
NEIGHBOURS_INITIAL_N,30,100,3.32,45,22
NEIGHBOURS_INITIAL_N,30,100,3.31,43,22
NEIGHBOURS_INITIAL_N,30,100,3.22,39,22
NEIGHBOURS_INITIAL_N,30,100,3.19,38,22
NEIGHBOURS_INITIAL_N,30,100,3.26,40,22
NEIGHBOURS_INITIAL_N,30,100,3.1,43,22
NEIGHBOURS_INITIAL_N,30,100,3.33,46,22
NEIGHBOURS_INITIAL_N,30,100,3.22,47,22
NEIGHBOURS_INITIAL_N,30,100,3.08,42,22
NEIGHBOURS_INITIAL_N,30,100,3.25,40,22
NEIGHBOURS_INITIAL_N,30,100,3.37,43,22
NEIGHBOURS_INITIAL_N,30,100,3.27,39,22
NEIGHBOURS_INITIAL_N,30,100,3.28,37,22
NEIGHBOURS_INITIAL_N,30,100,3.25,41,22
NEIGHBOURS_INITIAL_N,30,100,3.25,33,22
NEIGHBOURS_INITIAL_N,30,100,3.37,38,22
NEIGHBOURS_INITIAL_N,30,100,3.19,40,22
NEIGHBOURS_INITIAL_N,30,100,3.35,40,22
NEIGHBOURS_INITIAL_N,30,100,3.3,39,22
NEIGHBOURS_INITIAL_N,30,100,3.33,40,22
NEIGHBOURS_INITIAL_N,30,100,3.39,33,22
NEIGHBOURS_INITIAL_N,30,100,3.16,40,22
NEIGHBOURS_INITIAL_N,30,100,3.29,39,22
NEIGHBOURS_INITIAL_N,30,100,3.24,44,22
NEIGHBOURS_INITIAL_N,30,100,3.37,45,22
NEIGHBOURS_INITIAL_N,30,100,3.22,42,22
NEIGHBOURS_INITIAL_N,30,100,3.19,37,22
NEIGHBOURS_INITIAL_N,30,100,3.36,38,22
NEIGHBOURS_INITIAL_N,30,100,3.38,45,22
NEIGHBOURS_INITIAL_N,30,100,3.28,37,22
NEIGHBOURS_INITIAL_N,30,100,3.28,41,22
NEIGHBOURS_INITIAL_N,30,100,3.27,43,22
NEIGHBOURS_INITIAL_N,30,100,3.3,41,22
NEIGHBOURS_INITIAL_N,30,100,3.31,35,22
NEIGHBOURS_INITIAL_N,30,100,3.35,38,22
NEIGHBOURS_INITIAL_N,30,100,3.18,45,22
NEIGHBOURS_INITIAL_N,30,100,3.33,46,22
NEIGHBOURS_INITIAL_N,30,100,3.21,39,22
NEIGHBOURS_INITIAL_N,30,100,3.3,39,22
NEIGHBOURS_INITIAL_N,30,100,3.15,44,22
NEIGHBOURS_INITIAL_N,30,100,3.29,40,22
NEIGHBOURS_INITIAL_N,30,100,3.23,38,22
NEIGHBOURS_INITIAL_N,30,100,3.25,42,22
NEIGHBOURS_INITIAL_N,30,100,3.29,40,22
NEIGHBOURS_INITIAL_N,30,100,3.26,44,22
NEIGHBOURS_INITIAL_N,30,100,3.31,41,22
NEIGHBOURS_INITIAL_N,30,100,3.35,29,22
NEIGHBOURS_INITIAL_N,30,100,3.32,44,22
NEIGHBOURS_INITIAL_N,30,100,3.37,36,22
NEIGHBOURS_INITIAL_N,30,100,3.22,42,22
NEIGHBOURS_INITIAL_N,30,100,3.39,38,22
NEIGHBOURS_INITIAL_N,30,100,3.26,41,22
NEIGHBOURS_INITIAL_N,30,100,3.33,40,22
NEIGHBOURS_INITIAL_N,30,100,3.14,39,22
NEIGHBOURS_INITIAL_N,30,100,3.3,45,22
NEIGHBOURS_INITIAL_N,30,100,3.41,39,22
NEIGHBOURS_INITIAL_N,30,1000,14.86,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.75,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.81,33,22
NEIGHBOURS_INITIAL_N,30,1000,12.88,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.62,33,22
NEIGHBOURS_INITIAL_N,30,1000,12.86,35,22
NEIGHBOURS_INITIAL_N,30,1000,13.5,30,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.82,34,22
NEIGHBOURS_INITIAL_N,30,1000,13.07,30,22
NEIGHBOURS_INITIAL_N,30,1000,13.05,36,22
NEIGHBOURS_INITIAL_N,30,1000,13.15,32,22
NEIGHBOURS_INITIAL_N,30,1000,13.93,34,22
NEIGHBOURS_INITIAL_N,30,1000,13.03,34,22
NEIGHBOURS_INITIAL_N,30,1000,13.19,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,38,22
NEIGHBOURS_INITIAL_N,30,1000,12.77,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.91,32,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.79,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.84,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.8,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.79,33,22
NEIGHBOURS_INITIAL_N,30,1000,12.88,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,31,22
NEIGHBOURS_INITIAL_N,30,1000,12.77,38,22
NEIGHBOURS_INITIAL_N,30,1000,12.94,31,22
NEIGHBOURS_INITIAL_N,30,1000,13.01,30,22
NEIGHBOURS_INITIAL_N,30,1000,12.61,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.88,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.89,35,22
NEIGHBOURS_INITIAL_N,30,1000,13.74,34,22
NEIGHBOURS_INITIAL_N,30,1000,12.7,31,22
NEIGHBOURS_INITIAL_N,30,1000,13.01,34,22
NEIGHBOURS_INITIAL_N,30,1000,13.06,35,22
NEIGHBOURS_INITIAL_N,30,1000,13.16,33,22
NEIGHBOURS_INITIAL_N,30,1000,13.01,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,28,22
NEIGHBOURS_INITIAL_N,30,1000,13.01,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,34,22
NEIGHBOURS_INITIAL_N,30,1000,12.9,34,22
NEIGHBOURS_INITIAL_N,30,1000,12.72,31,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,34,22
NEIGHBOURS_INITIAL_N,30,1000,12.8,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.74,35,22
NEIGHBOURS_INITIAL_N,30,1000,13.1,32,22
NEIGHBOURS_INITIAL_N,30,1000,13,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.84,33,22
NEIGHBOURS_INITIAL_N,30,1000,12.95,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.88,32,22
NEIGHBOURS_INITIAL_N,30,1000,13.75,34,22
NEIGHBOURS_INITIAL_N,30,1000,12.65,35,22
NEIGHBOURS_INITIAL_N,30,1000,13.55,36,22
NEIGHBOURS_INITIAL_N,30,1000,13.05,36,22
NEIGHBOURS_INITIAL_N,30,1000,13.09,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,32,22
NEIGHBOURS_INITIAL_N,30,1000,12.8,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.73,34,22
NEIGHBOURS_INITIAL_N,30,1000,13.86,38,22
NEIGHBOURS_INITIAL_N,30,1000,13.71,35,22
NEIGHBOURS_INITIAL_N,30,1000,13.53,37,22
NEIGHBOURS_INITIAL_N,30,1000,13.26,32,22
NEIGHBOURS_INITIAL_N,30,1000,12.76,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.89,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.85,35,22
NEIGHBOURS_INITIAL_N,30,1000,12.79,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.87,28,22
NEIGHBOURS_INITIAL_N,30,1000,12.96,34,22
NEIGHBOURS_INITIAL_N,30,1000,12.76,36,22
NEIGHBOURS_INITIAL_N,30,1000,12.77,33,22
NEIGHBOURS_INITIAL_N,30,1000,12.75,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.92,37,22
NEIGHBOURS_INITIAL_N,30,1000,12.74,32,22
