Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 100
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
4.02user 0.03system 0:01.89elapsed 214%CPU (0avgtext+0avgdata 27088maxresident)k
3.87user 0.05system 0:01.78elapsed 219%CPU (0avgtext+0avgdata 27304maxresident)k
3.94user 0.03system 0:01.75elapsed 227%CPU (0avgtext+0avgdata 27180maxresident)k
3.90user 0.02system 0:01.70elapsed 229%CPU (0avgtext+0avgdata 27020maxresident)k
3.42user 0.03system 0:01.22elapsed 283%CPU (0avgtext+0avgdata 27180maxresident)k
3.43user 0.02system 0:01.23elapsed 280%CPU (0avgtext+0avgdata 27308maxresident)k
3.43user 0.02system 0:01.24elapsed 277%CPU (0avgtext+0avgdata 27308maxresident)k
3.42user 0.03system 0:01.23elapsed 279%CPU (0avgtext+0avgdata 27180maxresident)k
3.43user 0.03system 0:01.23elapsed 281%CPU (0avgtext+0avgdata 27016maxresident)k
3.43user 0.03system 0:01.23elapsed 280%CPU (0avgtext+0avgdata 27180maxresident)k
3.37user 0.02system 0:01.23elapsed 276%CPU (0avgtext+0avgdata 27164maxresident)k
3.39user 0.04system 0:01.23elapsed 279%CPU (0avgtext+0avgdata 27180maxresident)k
3.43user 0.03system 0:01.23elapsed 281%CPU (0avgtext+0avgdata 27308maxresident)k
3.39user 0.04system 0:01.23elapsed 278%CPU (0avgtext+0avgdata 27188maxresident)k
3.38user 0.03system 0:01.23elapsed 277%CPU (0avgtext+0avgdata 27056maxresident)k
3.34user 0.03system 0:01.23elapsed 274%CPU (0avgtext+0avgdata 27184maxresident)k
3.40user 0.02system 0:01.24elapsed 275%CPU (0avgtext+0avgdata 27180maxresident)k
3.43user 0.03system 0:01.24elapsed 277%CPU (0avgtext+0avgdata 27144maxresident)k
3.27user 0.05system 0:01.32elapsed 251%CPU (0avgtext+0avgdata 27144maxresident)k
3.33user 0.03system 0:01.29elapsed 259%CPU (0avgtext+0avgdata 27192maxresident)k
3.35user 0.03system 0:01.25elapsed 270%CPU (0avgtext+0avgdata 27312maxresident)k
3.34user 0.04system 0:01.24elapsed 272%CPU (0avgtext+0avgdata 27148maxresident)k
3.39user 0.02system 0:01.24elapsed 274%CPU (0avgtext+0avgdata 27152maxresident)k
3.31user 0.04system 0:01.26elapsed 265%CPU (0avgtext+0avgdata 27304maxresident)k
3.42user 0.02system 0:01.26elapsed 271%CPU (0avgtext+0avgdata 27272maxresident)k
3.41user 0.03system 0:01.30elapsed 263%CPU (0avgtext+0avgdata 27148maxresident)k
3.35user 0.04system 0:01.22elapsed 276%CPU (0avgtext+0avgdata 27180maxresident)k
3.37user 0.03system 0:01.25elapsed 273%CPU (0avgtext+0avgdata 27308maxresident)k
3.36user 0.04system 0:01.28elapsed 264%CPU (0avgtext+0avgdata 27304maxresident)k
3.39user 0.03system 0:01.25elapsed 273%CPU (0avgtext+0avgdata 27308maxresident)k
3.31user 0.05system 0:01.33elapsed 252%CPU (0avgtext+0avgdata 26980maxresident)k
3.27user 0.05system 0:01.30elapsed 255%CPU (0avgtext+0avgdata 27124maxresident)k
3.44user 0.03system 0:01.24elapsed 279%CPU (0avgtext+0avgdata 27184maxresident)k
3.35user 0.03system 0:01.24elapsed 273%CPU (0avgtext+0avgdata 27144maxresident)k
3.40user 0.03system 0:01.31elapsed 262%CPU (0avgtext+0avgdata 27280maxresident)k
3.25user 0.05system 0:01.24elapsed 264%CPU (0avgtext+0avgdata 27144maxresident)k
3.40user 0.04system 0:01.29elapsed 265%CPU (0avgtext+0avgdata 27276maxresident)k
3.12user 0.04system 0:01.26elapsed 250%CPU (0avgtext+0avgdata 27276maxresident)k
3.36user 0.04system 0:01.31elapsed 258%CPU (0avgtext+0avgdata 27144maxresident)k
3.20user 0.04system 0:01.28elapsed 253%CPU (0avgtext+0avgdata 27068maxresident)k
3.23user 0.03system 0:01.28elapsed 254%CPU (0avgtext+0avgdata 27276maxresident)k
3.27user 0.03system 0:01.26elapsed 262%CPU (0avgtext+0avgdata 27144maxresident)k
3.29user 0.03system 0:01.24elapsed 266%CPU (0avgtext+0avgdata 27052maxresident)k
3.24user 0.05system 0:01.25elapsed 263%CPU (0avgtext+0avgdata 27308maxresident)k
3.32user 0.02system 0:01.30elapsed 256%CPU (0avgtext+0avgdata 27120maxresident)k
3.31user 0.02system 0:01.23elapsed 269%CPU (0avgtext+0avgdata 27272maxresident)k
3.22user 0.03system 0:01.26elapsed 257%CPU (0avgtext+0avgdata 27308maxresident)k
3.19user 0.04system 0:01.26elapsed 255%CPU (0avgtext+0avgdata 27184maxresident)k
3.26user 0.06system 0:01.30elapsed 254%CPU (0avgtext+0avgdata 27180maxresident)k
3.10user 0.05system 0:01.27elapsed 246%CPU (0avgtext+0avgdata 27272maxresident)k
3.33user 0.04system 0:01.26elapsed 266%CPU (0avgtext+0avgdata 27280maxresident)k
3.22user 0.05system 0:01.29elapsed 252%CPU (0avgtext+0avgdata 27280maxresident)k
3.08user 0.04system 0:01.28elapsed 242%CPU (0avgtext+0avgdata 27108maxresident)k
3.25user 0.03system 0:01.24elapsed 263%CPU (0avgtext+0avgdata 27184maxresident)k
3.37user 0.03system 0:01.29elapsed 263%CPU (0avgtext+0avgdata 27308maxresident)k
3.27user 0.04system 0:01.26elapsed 262%CPU (0avgtext+0avgdata 27180maxresident)k
3.28user 0.05system 0:01.26elapsed 265%CPU (0avgtext+0avgdata 27176maxresident)k
3.25user 0.03system 0:01.27elapsed 258%CPU (0avgtext+0avgdata 27144maxresident)k
3.25user 0.05system 0:01.23elapsed 266%CPU (0avgtext+0avgdata 27180maxresident)k
3.37user 0.03system 0:01.26elapsed 269%CPU (0avgtext+0avgdata 27052maxresident)k
3.19user 0.04system 0:01.26elapsed 256%CPU (0avgtext+0avgdata 27180maxresident)k
3.35user 0.03system 0:01.28elapsed 264%CPU (0avgtext+0avgdata 27304maxresident)k
3.30user 0.04system 0:01.25elapsed 266%CPU (0avgtext+0avgdata 27144maxresident)k
3.33user 0.03system 0:01.27elapsed 264%CPU (0avgtext+0avgdata 27180maxresident)k
3.39user 0.03system 0:01.28elapsed 267%CPU (0avgtext+0avgdata 27148maxresident)k
3.16user 0.04system 0:01.25elapsed 255%CPU (0avgtext+0avgdata 26808maxresident)k
3.29user 0.03system 0:01.26elapsed 263%CPU (0avgtext+0avgdata 27144maxresident)k
3.24user 0.03system 0:01.23elapsed 265%CPU (0avgtext+0avgdata 27144maxresident)k
3.37user 0.03system 0:01.26elapsed 269%CPU (0avgtext+0avgdata 27144maxresident)k
3.22user 0.04system 0:01.25elapsed 259%CPU (0avgtext+0avgdata 27148maxresident)k
3.19user 0.03system 0:01.26elapsed 255%CPU (0avgtext+0avgdata 27052maxresident)k
3.36user 0.03system 0:01.26elapsed 269%CPU (0avgtext+0avgdata 26908maxresident)k
3.38user 0.03system 0:01.27elapsed 267%CPU (0avgtext+0avgdata 27028maxresident)k
3.28user 0.03system 0:01.28elapsed 258%CPU (0avgtext+0avgdata 27272maxresident)k
3.28user 0.03system 0:01.28elapsed 257%CPU (0avgtext+0avgdata 27052maxresident)k
3.27user 0.03system 0:01.23elapsed 268%CPU (0avgtext+0avgdata 27312maxresident)k
3.30user 0.03system 0:01.24elapsed 268%CPU (0avgtext+0avgdata 27316maxresident)k
3.31user 0.04system 0:01.32elapsed 254%CPU (0avgtext+0avgdata 27180maxresident)k
3.35user 0.05system 0:01.27elapsed 267%CPU (0avgtext+0avgdata 27272maxresident)k
3.18user 0.03system 0:01.24elapsed 258%CPU (0avgtext+0avgdata 27312maxresident)k
3.33user 0.03system 0:01.27elapsed 264%CPU (0avgtext+0avgdata 27132maxresident)k
3.21user 0.04system 0:01.28elapsed 254%CPU (0avgtext+0avgdata 27144maxresident)k
3.30user 0.03system 0:01.25elapsed 266%CPU (0avgtext+0avgdata 27272maxresident)k
3.15user 0.03system 0:01.27elapsed 250%CPU (0avgtext+0avgdata 27308maxresident)k
3.29user 0.04system 0:01.25elapsed 266%CPU (0avgtext+0avgdata 27148maxresident)k
3.23user 0.04system 0:01.28elapsed 255%CPU (0avgtext+0avgdata 27308maxresident)k
3.25user 0.04system 0:01.27elapsed 257%CPU (0avgtext+0avgdata 27148maxresident)k
3.29user 0.03system 0:01.29elapsed 257%CPU (0avgtext+0avgdata 27308maxresident)k
3.26user 0.03system 0:01.24elapsed 264%CPU (0avgtext+0avgdata 27096maxresident)k
3.31user 0.03system 0:01.27elapsed 262%CPU (0avgtext+0avgdata 27180maxresident)k
3.35user 0.03system 0:01.26elapsed 267%CPU (0avgtext+0avgdata 27312maxresident)k
3.32user 0.04system 0:01.25elapsed 267%CPU (0avgtext+0avgdata 27060maxresident)k
3.37user 0.03system 0:01.26elapsed 269%CPU (0avgtext+0avgdata 27092maxresident)k
3.22user 0.04system 0:01.26elapsed 259%CPU (0avgtext+0avgdata 27184maxresident)k
3.39user 0.04system 0:01.31elapsed 262%CPU (0avgtext+0avgdata 27148maxresident)k
3.26user 0.06system 0:01.30elapsed 254%CPU (0avgtext+0avgdata 27148maxresident)k
3.33user 0.03system 0:01.24elapsed 270%CPU (0avgtext+0avgdata 27188maxresident)k
3.14user 0.02system 0:01.29elapsed 244%CPU (0avgtext+0avgdata 27088maxresident)k
3.30user 0.03system 0:01.25elapsed 266%CPU (0avgtext+0avgdata 27272maxresident)k
3.41user 0.03system 0:01.32elapsed 260%CPU (0avgtext+0avgdata 27076maxresident)k
Instance: j3060_1
Chains: 2
Steps: 3
Neighbours Initial N: 1000
Neighbours Increase Coefficient: 1
Temperature Max: 100
Temperature Increase Coefficient: 0.25
14.86user 0.03system 0:12.65elapsed 117%CPU (0avgtext+0avgdata 27144maxresident)k
12.75user 0.05system 0:10.74elapsed 119%CPU (0avgtext+0avgdata 27096maxresident)k
12.81user 0.02system 0:10.87elapsed 118%CPU (0avgtext+0avgdata 27028maxresident)k
12.88user 0.02system 0:10.67elapsed 120%CPU (0avgtext+0avgdata 27148maxresident)k
12.62user 0.05system 0:10.65elapsed 119%CPU (0avgtext+0avgdata 27312maxresident)k
12.86user 0.04system 0:10.92elapsed 118%CPU (0avgtext+0avgdata 27092maxresident)k
13.50user 0.04system 0:11.44elapsed 118%CPU (0avgtext+0avgdata 26800maxresident)k
12.85user 0.02system 0:10.99elapsed 117%CPU (0avgtext+0avgdata 27044maxresident)k
12.82user 0.06system 0:10.82elapsed 119%CPU (0avgtext+0avgdata 26904maxresident)k
13.07user 0.04system 0:10.96elapsed 119%CPU (0avgtext+0avgdata 27208maxresident)k
13.05user 0.15system 0:11.32elapsed 116%CPU (0avgtext+0avgdata 27216maxresident)k
